# Mutation census, unit layer only. Regenerate with mutate.ps1 -UpdateBaseline.
# NOT comparable to the 2026-09-08 hand-run audit: that was 233 hand-chosen
# mutations, this is a mechanical census whose blended rate moves with the
# operator mix. Read the per-file rows, and read the OPERATOR column with
# them: ROR asks whether a relational boundary is pinned, OFF asks whether
# the OPERANDS around it are -- the direction ROR structurally cannot reach.
# A row is replaced only by a run of ITS operator; each carries the commit
# it was measured at.
# last run: ca642445f8433ab7b29f78c90b33d8136b1be81b (OFF, only fileio.c)
file	operator	killed	survived	invalid	timeout	flaky	error	commit
encoding.c	OFF	54	2	0	0	0	0	9f2b8c68aa3e59e3d87955829e7c12e68c98c41d
encoding.c	ROR	27	1	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
fileio.c	OFF	30	44	2	0	0	0	ca642445f8433ab7b29f78c90b33d8136b1be81b
fileio.c	ROR	23	18	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
generic/dirinput.c	OFF	9	1	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
generic/dirinput.c	ROR	4	1	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
generic/in.c	OFF	28	58	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
generic/in.c	ROR	18	28	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
generic/tile.c	OFF	38	139	0	1	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
generic/tile.c	ROR	23	66	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
lxlogic.c	OFF	100	336	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
lxlogic.c	ROR	80	138	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
mslogic.c	OFF	192	558	0	6	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
mslogic.c	ROR	152	225	0	3	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
play.c	OFF	17	39	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
play.c	ROR	8	20	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
random.c	OFF	5	1	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
random.c	ROR	2	1	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
res.c	OFF	13	39	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
res.c	ROR	13	20	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
score.cpp	OFF	12	22	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
score.cpp	ROR	5	12	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
series.c	OFF	29	89	0	0	0	0	5cbef65bc46675355f2a0f834f282e97765e4b99
series.c	ROR	18	50	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
settings.cpp	OFF	23	16	0	1	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
settings.cpp	ROR	25	6	22	3	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
solution.c	OFF	49	33	0	0	0	0	7733cc91332514ee2e9f6a9fd023e5af52d328ab
solution.c	ROR	22	27	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
tworld.c	OFF	21	313	0	0	0	0	b41991fa181794007ee6d9d86cda3a4fad5b6783
tworld.c	ROR	12	167	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
unslist.c	OFF	44	8	0	0	0	0	10ca5448b1a0320070a34438ae6f8cc082bf34ef
unslist.c	ROR	21	6	0	0	0	0	28353931c9c1a4bb93735d41e2365b35049c1a62
